svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,linear,1,0.1,0.8,0.4,0.6666666666666666,0.5,0.40422604172722165
0.01,linear,1,0.2,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,linear,1,0.30000000000000004,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,1,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,1,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,1,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,1,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,linear,1,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,linear,1,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,linear,2,0.1,0.7333333333333333,0.36,1.0,0.5294117647058824,0.4970501217477084
0.01,linear,2,0.2,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
0.01,linear,2,0.30000000000000004,0.8333333333333334,0.42857142857142855,0.3333333333333333,0.375,0.2835257867105283
0.01,linear,2,0.4,0.85,0.5,0.3333333333333333,0.4,0.32673201960653564
0.01,linear,2,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,linear,2,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.01,linear,2,0.7000000000000001,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11779030380392652
0.01,linear,2,0.8,0.8166666666666667,0.0,0.0,0.0,-0.07800764512385157
0.01,linear,2,0.9,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
0.01,linear,3,0.1,0.48333333333333334,0.225,1.0,0.3673469387755102,0.2970442628930023
0.01,linear,3,0.2,0.95,0.75,1.0,0.8571428571428571,0.8401680504168058
0.01,linear,3,0.30000000000000004,0.9833333333333333,0.9,1.0,0.9473684210526315,0.9393364366277243
0.01,linear,3,0.4,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
0.01,linear,3,0.5,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
0.01,linear,3,0.6,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
0.01,linear,3,0.7000000000000001,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
0.01,linear,3,0.8,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,linear,3,0.9,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,4,0.1,0.75,0.375,1.0,0.5454545454545454,0.5144957554275266
0.01,linear,4,0.2,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
0.01,linear,4,0.30000000000000004,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
0.01,linear,4,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,4,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,linear,4,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,linear,4,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,linear,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,linear,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,linear,5,0.1,0.9152542372881356,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7225294854661686
0.01,linear,5,0.2,0.8983050847457628,0.8,0.4444444444444444,0.5714285714285714,0.5479554215745308
0.01,linear,5,0.30000000000000004,0.8813559322033898,0.75,0.3333333333333333,0.46153846153846156,0.4481274169454284
0.01,linear,5,0.4,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,linear,5,0.5,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,linear,5,0.6,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,linear,5,0.7000000000000001,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.01,linear,5,0.8,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.01,linear,5,0.9,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.01,rbf,1,0.1,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.37675904400756577
0.01,rbf,1,0.2,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
